iter	Passed	Remaining
0	0	848
1	1	737
2	2	702
3	2	719
4	3	691
5	4	674
6	4	659
7	5	646
8	5	640
9	6	633
10	6	623
11	7	615
12	8	616
13	8	616
14	9	615
15	9	611
16	10	621
17	11	618
18	11	615
19	12	631
20	13	629
21	14	627
22	14	623
23	15	629
24	16	630
25	16	631
26	17	628
27	18	626
28	18	623
29	19	619
30	19	616
31	20	613
32	20	610
33	21	608
34	21	605
35	22	603
36	23	602
37	23	599
38	24	596
39	24	593
40	25	590
41	26	598
42	27	603
43	27	601
44	28	600
45	28	599
46	29	597
47	30	596
48	30	600
49	31	599
50	32	598
51	32	596
52	33	600
53	34	599
54	35	603
55	35	602
56	36	603
57	37	601
58	37	600
59	38	598
60	38	597
61	39	595
62	39	594
63	41	600
64	41	599
65	42	597
66	42	596
67	43	594
68	44	597
69	44	595
70	45	593
71	45	591
72	46	590
73	47	589
74	47	587
75	48	586
76	48	584
77	49	582
78	49	581
79	50	579
80	50	578
81	51	576
82	51	572
83	52	570
84	52	569
85	53	567
86	53	566
87	54	565
88	55	564
89	56	567
90	56	565
91	57	564
92	57	564
93	58	564
94	59	563
95	59	561
96	60	560
97	60	559
98	61	557
99	61	556
100	62	554
101	62	554
102	63	553
103	64	552
104	64	551
105	65	550
106	65	549
107	66	547
108	66	546
109	67	545
110	68	544
111	68	543
112	69	542
113	69	541
114	70	540
115	71	541
116	71	539
117	72	538
118	72	537
119	73	536
120	73	536
121	74	534
122	74	533
123	75	534
124	76	533
125	76	532
126	77	530
127	77	529
128	78	528
129	78	526
130	79	525
131	79	524
132	80	524
133	81	525
134	81	524
135	82	523
136	82	522
137	83	521
138	83	519
139	84	518
140	84	517
141	85	515
142	86	516
143	86	515
144	87	514
145	87	513
146	88	512
147	89	512
148	89	511
149	90	510
150	90	509
151	91	507
152	91	506
153	91	505
154	92	504
155	93	503
156	93	503
157	94	502
158	94	501
159	95	500
160	95	498
161	96	497
162	96	496
163	97	495
164	97	494
165	98	493
166	98	493
167	99	492
168	99	491
169	100	491
170	101	491
171	102	491
172	102	491
173	103	491
174	104	490
175	104	491
176	105	490
177	106	489
178	106	488
179	107	487
180	107	486
181	108	485
182	108	484
183	109	483
184	109	482
185	109	481
186	110	480
187	110	479
188	111	478
189	111	477
190	112	476
191	112	475
192	113	474
193	113	473
194	114	472
195	114	471
196	115	470
197	116	470
198	116	469
199	117	468
200	117	467
201	118	466
202	118	465
203	119	464
204	119	463
205	120	462
206	120	461
207	121	460
208	121	461
209	122	460
210	123	460
211	123	460
212	124	460
213	125	459
214	125	458
215	126	458
216	126	457
217	127	456
218	127	455
219	128	454
220	128	453
221	129	452
222	129	451
223	130	450
224	130	450
225	131	449
226	131	448
227	132	447
228	132	446
229	133	445
230	133	445
231	134	444
232	134	443
233	135	442
234	135	441
235	136	440
236	136	440
237	137	439
238	137	438
239	138	437
240	138	437
241	139	436
242	139	435
243	140	434
244	140	433
245	141	433
246	141	432
247	142	431
248	142	430
249	143	429
250	143	428
251	144	427
252	144	427
253	145	427
254	146	426
255	146	426
256	147	426
257	148	425
258	148	425
259	149	424
260	149	423
261	150	422
262	150	422
263	151	421
264	151	420
265	152	419
266	152	418
267	152	417
268	153	417
269	153	416
270	154	415
271	154	414
272	155	413
273	155	413
274	156	412
275	156	411
276	157	410
277	157	410
278	158	409
279	158	408
280	159	407
281	159	407
282	160	406
283	161	406
284	161	405
285	162	404
286	162	404
287	163	403
288	163	403
289	164	402
290	164	401
291	165	400
292	165	400
293	166	399
294	166	398
295	167	397
296	167	397
297	168	396
298	168	395
299	169	395
300	169	394
301	170	393
302	170	392
303	171	392
304	171	391
305	172	390
306	172	390
307	173	389
308	173	388
309	174	387
310	174	387
311	175	386
312	175	386
313	176	385
314	176	384
315	177	384
316	178	384
317	178	383
318	179	382
319	179	381
320	180	381
321	180	380
322	181	379
323	181	378
324	182	378
325	182	377
326	183	376
327	183	376
328	184	375
329	184	374
330	185	373
331	185	373
332	185	372
333	186	371
334	186	371
335	187	370
336	187	369
337	188	368
338	188	368
339	189	367
340	190	367
341	190	366
342	191	365
343	191	365
344	192	364
345	192	363
346	193	363
347	193	362
348	193	361
349	194	361
350	194	360
351	195	359
352	195	359
353	196	358
354	196	357
355	197	356
356	197	356
357	198	355
358	198	354
359	199	354
360	199	353
361	200	352
362	200	352
363	201	351
364	201	350
365	202	350
366	202	349
367	203	348
368	203	348
369	204	347
370	204	346
371	205	347
372	206	346
373	206	346
374	207	345
375	207	344
376	208	344
377	208	343
378	209	342
379	209	342
380	210	341
381	210	340
382	211	340
383	211	339
384	212	338
385	212	338
386	213	337
387	213	337
388	214	336
389	214	335
390	215	335
391	215	334
392	216	333
393	216	333
394	217	332
395	217	331
396	218	331
397	218	330
398	219	330
399	219	329
400	220	329
401	220	328
402	221	327
403	221	327
404	222	326
405	222	325
406	223	325
407	223	324
408	224	323
409	224	323
410	225	322
411	225	322
412	226	321
413	226	320
414	227	320
415	227	319
416	228	318
417	228	318
418	229	317
419	229	316
420	230	316
421	230	315
422	231	315
423	231	314
424	231	313
425	232	313
426	232	312
427	233	311
428	233	311
429	234	310
430	235	310
431	235	309
432	236	309
433	236	308
434	237	308
435	237	307
436	238	306
437	238	306
438	239	305
439	239	304
440	240	304
441	240	303
442	241	303
443	241	302
444	241	301
445	242	301
446	242	300
447	243	299
448	243	299
449	244	298
450	244	298
451	245	297
452	245	296
453	246	296
454	246	295
455	247	295
456	247	294
457	248	294
458	249	293
459	249	293
460	250	292
461	250	292
462	251	291
463	252	291
464	252	290
465	253	290
466	253	289
467	254	288
468	254	288
469	255	287
470	255	287
471	256	286
472	256	285
473	257	285
474	257	284
475	258	284
476	258	283
477	259	283
478	259	282
479	260	282
480	260	281
481	261	280
482	261	280
483	262	279
484	263	279
485	263	278
486	264	278
487	264	277
488	265	277
489	266	277
490	266	276
491	267	275
492	267	275
493	268	274
494	268	274
495	269	273
496	269	273
497	270	272
498	270	271
499	271	271
500	271	270
501	272	270
502	272	269
503	273	268
504	273	268
505	274	267
506	274	267
507	275	266
508	275	265
509	276	265
510	277	265
511	277	264
512	278	263
513	278	263
514	279	262
515	279	262
516	280	261
517	280	261
518	281	260
519	281	260
520	282	259
521	282	258
522	283	258
523	283	257
524	284	257
525	284	256
526	285	256
527	285	255
528	286	254
529	286	254
530	287	253
531	287	253
532	288	252
533	288	251
534	289	251
535	289	250
536	290	250
537	290	249
538	291	249
539	291	248
540	292	247
541	292	247
542	293	246
543	293	246
544	294	245
545	294	245
546	295	244
547	295	244
548	296	243
549	296	242
550	297	242
551	297	241
552	298	241
553	298	240
554	299	240
555	299	239
556	300	238
557	300	238
558	301	237
559	301	237
560	302	236
561	302	236
562	303	235
563	303	234
564	304	234
565	304	233
566	305	233
567	306	232
568	306	232
569	307	231
570	307	231
571	308	230
572	309	230
573	309	230
574	310	229
575	311	229
576	311	228
577	312	228
578	313	227
579	313	227
580	314	226
581	315	226
582	316	226
583	316	225
584	317	224
585	317	224
586	318	223
587	319	223
588	319	223
589	320	222
590	320	222
591	321	221
592	322	221
593	322	220
594	323	219
595	323	219
596	324	218
597	325	218
598	325	218
599	326	217
600	327	217
601	328	216
602	328	216
603	329	215
604	329	215
605	330	214
606	330	214
607	331	213
608	331	213
609	332	212
610	333	212
611	333	211
612	334	211
613	334	210
614	335	209
615	335	209
616	336	208
617	336	208
618	337	207
619	338	207
620	338	206
621	339	206
622	339	205
623	340	205
624	341	204
625	342	204
626	342	203
627	343	203
628	344	202
629	344	202
630	345	201
631	345	201
632	346	200
633	346	200
634	347	199
635	347	199
636	348	198
637	349	198
638	349	197
639	350	196
